clusterid - Prediction/OutPut,companycode,ff_assets_curr,ff_curr_ratio,ff_debt,ff_debt_eq,ff_ebitda_oper,ff_inven_turn,ff_invest_cf,ff_ltd_com_eq,ff_oper_cf,ff_roce,ff_sales,debt_ltd_com_eq_interaction,sale_assets_curr_interaction,sale_debt_interaction,ebitda_sales_interaction
6,BK7D6J-R,32.226,1.716864888,48.763,0.088379596,39.039,6.090285406,-57.039,0.0,7.545,0.0,-6.865,0.0,-221.23149,-334.757995,-268.00273500000003
4,BL7YD4-R,19.722,38.36964981,0.21,0.009505273,-1.436,6.013167847,1.357,0.0,-1.653,-0.064997963,0.0,0.0,0.0,0.0,-0.0
2,BL7YD4-R,17.346,20.33528722,0.0,0.0,-1.801,6.090285406,0.182,0.0,-0.754,-0.081298244,0.0,0.0,0.0,0.0,-0.0
3,BMDSRS-R,2.158820732,31.39361702,0.0,0.0,-0.53651,6.013167847,-0.532613982,0.0,-0.207430921,0.0,0.0,0.0,0.0,0.0,-0.0
4,BMDSRS-R,0.736830448,9.41509434,8.492356307,0.127926584,-0.74311,6.090285406,-0.919796734,0.064841377,-0.492981965,0.0,0.0,0.5506560769205148,0.0,0.0,-0.0
3,BMH7TG-R,735.7680237,1.083003953,576.4411281,0.076393832,147.5689715,172.2638227,13.33454574,0.072878338,157.3476398,-0.000517485,1815.27616,42.0100713707731,1335622.1527129249,1046399.8374834361,267878.43591966946
6,BMH7TG-R,1556.623574,1.451840251,2362.642253,0.219090626,-390.1823836,179.1560403,-91.09985164,0.211484594,-363.539974,-0.050360657,3863.149369,499.6624376429503,6013469.377668625,9127239.92884969,-1507332.828999256
3,BP92L4-R,343.5970591,1.936066283,263.1976298,0.44138745,162.9463466,3.688012977,-47.17337861,0.342178631,38.9533435,0.029612574,470.217045,90.06060464740881,161565.19380069236,123760.01173555995,76620.14959179779
6,BP92L4-R,259.6197719,1.397839888,242.0037654,0.770236864,44.26731039,3.28707857,-22.18636976,0.468219428,36.76133066,-0.081608219,399.3604726,113.31086460943419,103681.87480228819,96646.73812112352,17678.613998081288
3,BPQV9J-R,12.67226673,2.130019652,9.229235159,0.610796541,3.679893353,3.088929062,-1.906004753,0.534823005,2.1336095,0.098376445,23.15081144,4.936007281588033,293.3732575836154,213.6642829014274,85.19251713461236
6,BPQV9J-R,13.07984791,2.43051173,6.409981912,0.28977671,5.048340946,3.729583084,-1.079761383,0.240145523,5.470063897,0.138146536,28.38572704,1.53932845867778,371.28099249797447,181.9519968853693,143.30082809801138
3,BR55CN-R,26.8092326,1.539854031,319.0,0.169861555,162.0,6.013167847,-1474.0,0.165069223,1440.0,0.0,3461.0,52.657082136999996,92786.7540286,1104059.0,560682.0
6,BR55CN-R,32.226,1.716864888,299.0,0.171937895,160.0,6.090285406,-2641.0,0.166187464,3069.0,0.0,4686.0,49.690051736,151011.036,1401114.0,749760.0
3,BRXY19-R,158.9026665,1.674558448,32.94341417,0.304931642,29.59087448,18.45187994,-15.83727285,0.195552516,32.47853546,0.078847301,267.9609795,6.442167526573551,42579.71416050184,8827.549529067379,7929.199709922354
6,BRXY19-R,32.226,1.716864888,8.492356307,0.127926584,8.005395469,6.090285406,-2.0605,0.064841377,1.8833235,0.0,37.5375,0.5506560769205148,1209.683475,318.7818248740125,300.5025324175875
